time,i,j,x,y,u,v,omega_z,exact_u,exact_v,velocity_error
0,4,23,0.78539816339744828,4.5160394395353274,-0.13794968964147183,0.69351992266107387,-1.3870398453221475,-0.13794968964147178,0.69351992266107365,2.2887833992611187e-16
0,4,24,0.78539816339744828,4.7123889803846897,-1.1737436720927579e-16,0.70710678118654768,-1.414213562373096,-1.2989340843532398e-16,0.70710678118654757,1.117259058468438e-16
0,4,25,0.78539816339744828,4.908738521234052,0.13794968964147164,0.69351992266107387,-1.3870398453221477,0.13794968964147153,0.69351992266107376,1.5700924586837752e-16
0,4,26,0.78539816339744828,5.1050880620834143,0.27059805007309851,0.6532814824381884,-1.3065629648763752,0.27059805007309862,0.65328148243818818,2.4825341532472731e-16
0,4,27,0.78539816339744828,5.3014376029327757,0.3928474791935509,0.58793780120967953,-1.1758756024193584,0.39284747919355079,0.58793780120967953,1.1102230246251565e-16
0,4,28,0.78539816339744828,5.497787143782138,0.49999999999999994,0.50000000000000022,-1.0000000000000009,0.49999999999999983,0.50000000000000011,1.5700924586837752e-16
0,4,29,0.78539816339744828,5.6941366846315002,0.58793780120967931,0.39284747919355123,-0.78569495838710235,0.58793780120967931,0.39284747919355106,1.6653345369377348e-16
0,4,30,0.78539816339744828,5.8904862254808616,0.65328148243818807,0.27059805007309867,-0.54119610014619646,0.65328148243818807,0.27059805007309895,2.7755575615628914e-16
0,4,31,0.78539816339744828,6.0868357663302239,0.69351992266107354,0.13794968964147164,-0.27589937928294356,0.69351992266107354,0.13794968964147183,1.9428902930940239e-16
0,5,0,0.98174770424681035,0,0.83146961230254512,7.8013251201352036e-17,-9.6906804052762345e-16,0.83146961230254524,-0,1.3569089507805439e-16
0,5,1,0.98174770424681035,0.19634954084936207,0.8154931568489171,-0.10838637566236954,0.32442334882145807,0.8154931568489171,-0.10838637566236961,6.9388939039072284e-17
0,5,2,0.98174770424681035,0.39269908169872414,0.7681777567114163,-0.21260752369181407,0.63637929028641671,0.7681777567114163,-0.21260752369181415,8.3266726846886741e-17
0,5,3,0.98174770424681035,0.58904862254808621,0.69134171618254492,-0.30865828381745514,0.92387953251128618,0.69134171618254492,-0.30865828381745514,0
0,5,4,0.98174770424681035,0.78539816339744828,0.58793780120967953,-0.39284747919355112,1.1758756024193588,0.58793780120967942,-0.39284747919355112,1.1102230246251565e-16
0,5,5,0.98174770424681035,0.98174770424681035,0.46193976625564326,-0.46193976625564331,1.3826834323650905,0.46193976625564342,-0.46193976625564342,2.0014830212433605e-16
0,5,6,0.98174770424681035,1.1780972450961724,0.31818964514320847,-0.51327996715933666,1.5363555134228324,0.31818964514320852,-0.51327996715933677,1.2412670766236366e-16
0,5,7,0.98174770424681035,1.3744467859455345,0.16221167441072901,-0.54489510677581854,1.6309863136978342,0.16221167441072892,-0.54489510677581865,1.3877787807814457e-16
0,5,8,0.98174770424681035,1.5707963267948966,9.1095491417200464e-17,-0.55557023301960218,1.6629392246050907,5.091282996473014e-17,-0.55557023301960229,1.1807030924615279e-16
